2023-02-06 18:02:948 INFO  HomePage :75 - clicking on login link : [[ChromeDriver: chrome on WINDOWS (fccc431dd91303d775e583439a1282a2)] -> link text: Log in]
2023-02-06 18:02:396 INFO  HomePage :90 - Click on logoout linkProxy element for: DefaultElementLocator 'By.xpath: //a[@href='/logout']'
2023-02-06 18:02:428 INFO  HomePage :148 - getting text from [[ChromeDriver: chrome on WINDOWS (fccc431dd91303d775e583439a1282a2)] -> xpath: //a[contains(text(),'Log in')]]
2023-02-06 18:02:391 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:416 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:470 INFO  HomePage :75 - clicking on login link : [[ChromeDriver: chrome on WINDOWS (d453d54625e5808c9aca2dc8b069e3da)] -> link text: Log in]
2023-02-06 18:02:66 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:78 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:244 INFO  HomePage :75 - clicking on login link : [[ChromeDriver: chrome on WINDOWS (a924a8478ca86c1348cda5f58c92fafe)] -> link text: Log in]
2023-02-06 18:02:229 INFO  HomePage :143 - getting text from : [[ChromeDriver: chrome on WINDOWS (a924a8478ca86c1348cda5f58c92fafe)] -> xpath: //a[contains(text(),'Log out')]]
2023-02-06 18:02:86 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:96 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:151 INFO  HomePage :75 - clicking on login link : [[ChromeDriver: chrome on WINDOWS (478cfafd9faa2852f2233e21ccd0fc4f)] -> link text: Log in]
2023-02-06 18:02:174 INFO  LoginPage :44 - getting text from : [[ChromeDriver: chrome on WINDOWS (478cfafd9faa2852f2233e21ccd0fc4f)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2023-02-06 18:02:924 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:930 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:723 INFO  HomePage :80 - click on register link :[[ChromeDriver: chrome on WINDOWS (100031b1105cf9abd25323a24f60a20d)] -> link text: Register]
2023-02-06 18:02:844 INFO  HomePage :134 - Click on register button
2023-02-06 18:02:868 INFO  HomePage :138 - Getting error from [[ChromeDriver: chrome on WINDOWS (100031b1105cf9abd25323a24f60a20d)] -> xpath: //span[contains(text(),'First name is required.')]]
2023-02-06 18:02:924 INFO  HomePage :143 - Getting error from [[ChromeDriver: chrome on WINDOWS (100031b1105cf9abd25323a24f60a20d)] -> xpath: //span[contains(text(),'Last name is required.')]]
2023-02-06 18:02:979 INFO  HomePage :148 - Getting error from [[ChromeDriver: chrome on WINDOWS (100031b1105cf9abd25323a24f60a20d)] -> xpath: //span[contains(text(),'Email is required.')]]
